Issue Type,Summary,Description,Epic Link,Priority,Story Points,Labels,Acceptance Criteria,Start Date,End Date
Epic,Phase 0: Bootstrap Infrastructure,Initial project setup: structure Docker SQLite schema Odoo modules scaffolds test data generator documentation,,Highest,0,bootstrap,"Structure (30+ dirs), Makefile, SQLite schema, 4 Odoo modules, Test generator, GLOSSARY.md, AI Handoff Protocol, Sequence diagrams",2025-10-06,2025-10-06
Epic,Phase 1: POC (Proof of Concept),Prove offline-first architecture viability: Hybrid Logical Clock SQLite buffer Circuit Breaker Two-Phase Fiscalization Sync Worker Heartbeat,,Highest,89,poc,"POC-4 + POC-5 passed, P95 печати ≤7с, throughput ≥20 чеков/мин",2025-10-06,2025-11-09
Epic,Phase 2: MVP (Minimum Viable Product),Full functionality: Odoo models (prescription lens MO) Views connector_b import Offline UI Advanced patterns (Saga Bulkhead) UAT testing,,Highest,118,mvp,"UAT ≥95% pass, offline UAT 100%, 0 блокирующих дефектов, дубликаты=0, P95≤7s",2025-11-10,2025-12-07
Epic,Phase 3: Stabilization (Buffer Week),Load testing performance optimization bug fixes documentation updates rollback procedures,,High,21,buffer,"Нагрузка pass (P95≤7s 0% errors), 0 P1/P2 дефектов, documentation updated, rollback tested",2025-12-08,2025-12-14
Epic,Phase 4: Pilot Deployment,Real deployment to 2 locations (4 POS terminals): installation UPS setup staff training monitoring setup stress testing,,High,41,pilot,"Доступность ≥99.5% (2 weeks), 0 P1 incidents, monitoring active, stress test passed",2025-12-15,2026-01-11
Epic,Phase 5: Soft Launch,Scale to 5 locations (10 POS terminals): capacity metrics validation bottleneck identification optimization,,Medium,0,soft-launch,"Capacity metrics OK, PostgreSQL query P95<50ms, Celery critical queue<30, no OOM/CPU throttling",2026-01-12,2026-01-25
Epic,Phase 6: Production Rollout,Full production: 20 locations (40 POS terminals) pgbouncer setup DR testing complete documentation Day 2 Ops procedures,,Medium,0,production,"RTO≤1ч, RPO≤24ч, 40 POS operational, admin guide ≥50 pages, runbook ≥20 scenarios",2026-01-26,2026-02-22
Epic,Post-MVP Deployment Preparation,Prepare OpticsERP for production deployment after MVP completion: Russian UI localization installation documentation CI/CD pipeline,,High,24,post-mvp,"Russian UI 100% translated; Installation guide complete; CI/CD pipeline operational; Zero-downtime deployments working",2025-11-30,2025-12-28
Story,Implement Hybrid Logical Clock (HLC),Create kkt_adapter/app/hlc.py with HybridTimestamp dataclass and thread-safe implementation,Phase 1: POC (Proof of Concept),Highest,3,"poc,week1,hlc,core","HLC generates monotonic timestamps; Logical counter increments within same second; Ordering works: server_time > local_time > logical_counter; Thread-safe: 100 concurrent calls without race conditions",,
Story,Create HLC Unit Tests,Create tests/unit/test_hlc.py with comprehensive HLC testing,Phase 1: POC (Proof of Concept),Highest,2,"poc,week1,hlc,test","test_hlc_monotonic() passes; test_hlc_same_second() passes; test_hlc_ordering() passes; test_hlc_thread_safe() passes; 5+ tests total",,
Story,Implement SQLite Buffer CRUD,Create kkt_adapter/app/buffer.py with BufferDB class and all CRUD operations,Phase 1: POC (Proof of Concept),Highest,5,"poc,week1,buffer,sqlite","Receipts save with status=pending; Pending receipts selected with ORDER BY hlc; mark_synced updates status + server_time; DLQ works (INSERT to dlq table); buffer_status returns correct statistics; WAL mode works (concurrent inserts without locks)",,
